Symbol,Date,Open,High,Low,Close,Volume,Adj Close,changeprice,changepercent(%),rchangepercent(%)
AAC,2016-04-13,18.5,19.77,18.5,19.530001,208200,19.530001,1.03,5.57,0.06
ATEN,2016-04-13,5.9,6.21,5.86,6.19,430100,6.19,0.29,4.92,0.05
DDD,2016-04-11,15.73,16.690001,15.71,16.49,3311100,16.49,0.76,4.83,0.05
WUBA,2016-04-14,58.049999,61.59,57.580002,60.790001,1554400,60.790001,2.74,4.72,0.05
DDD,2016-04-04,15.12,15.92,14.93,15.82,4975500,15.82,0.7,4.63,0.05
ATEN,2016-04-01,5.87,6.14,5.87,6.13,256900,6.13,0.26,4.43,0.04
WBAI,2016-04-12,16.280001,17.799999,16.280001,16.91,580500,16.91,0.63,3.87,0.04
AAC,2016-04-14,19.15,20.01,18.85,19.870001,220300,19.870001,0.72,3.76,0.04
AAC,2016-04-01,19.66,20.459999,19.281,20.370001,348400,20.370001,0.71,3.61,0.04
AAC,2016-04-07,18.41,19.52,18.41,19.02,243600,19.02,0.61,3.31,0.03
AAN,2016-04-04,25.290001,26.049999,25.030001,26.0,985100,26.0,0.71,2.81,0.03
WUBA,2016-04-04,55.09,57.02,54.82,56.599998,514100,56.599998,1.51,2.74,0.03
WUBA,2016-04-08,56.290001,58.759998,56.290001,57.68,937100,57.68,1.39,2.47,0.02
ATEN,2016-04-06,5.92,6.06,5.88,6.06,160000,6.06,0.14,2.36,0.02
AIR,2016-04-13,23.639999,24.23,23.52,24.15,307100,24.15,0.51,2.16,0.02
WUBA,2016-04-06,55.0,56.610001,54.52,56.189999,616300,56.189999,1.19,2.16,0.02
AAN,2016-04-13,26.950001,27.719999,26.9,27.469999,1197400,27.469999,0.52,1.93,0.02
AAN,2016-04-01,24.879999,25.379999,24.629999,25.35,439000,25.35,0.47,1.89,0.02
AAN,2016-04-06,25.459999,26.219999,25.459999,25.940001,699700,25.940001,0.48,1.89,0.02
AIR,2016-04-14,24.16,24.74,24.129999,24.610001,270300,24.610001,0.45,1.86,0.02
WBAI,2016-04-13,17.200001,17.93,17.1,17.49,534300,17.49,0.29,1.69,0.02
AHC,2016-04-01,4.79,4.96,4.79,4.87,24900,4.87,0.08,1.67,0.02
